,text
120,"I will say I was pretty nervous to order this phone with looking at the reviews but the phone works like it’s brand new I had no problems setting it up, it works really well I wouldn’t listen to the bad reviews because this phone is just amazing.(also I had no glitches or anything that the bad reviews were saying)"
121,Excellent iPhone that is in almost new condition. The only sign of use was the battery which was still at 89% charge. I highly recommend it.
122,Perfect Condtion!
123,I’ve had this phone (iPhone XR) for a few months now I have waited to write a review. Problems. It had at 85% battery life. It’s been the best phone. I would highly recommend
124,Great purchase
125,My son loves it. It did not lose its battery capacity since I bought it some eight months ago!
126,"The phone is good, but the charger that came with it has a shortage in it, (even though it was wrapped like new). I’m impressed at how fast it arrived; one-day delivery as opposed to waiting a week. My emails are not all syncing, though. So far so good. Hoping for the best!"
127,Just functions like new
128,I literally loved everything about it the seller was really fast to ship and it does connect to boost mobile
129,"Face recognition good, screen quality good but battery life is the worst. The phone dies so fast. The USB card serves no purpose"
130,I LIKE EVERYTHING ABOUT THIS PHONE. I AM GLAD I UPGRADED.
131,Phone was like new other than the battery. No scratches or scuffs. And it already had a screen protector on the screen. Battery health Was 81%. Would have preferred it be a little better but can live with that. Overall satisfied with purchase.
132,First time ordering refurbished phone. Overall so far so good.
133,"Excelente calidad en este producto, es renovado pero la calidad del teléfono está bien, Face ID funciona debidamente, 91% de batería, me tenía intrigada que decía parent pero resueltó ser lo mismo, la pantalla no tiene ni un rasguño, vino con su cargador, celular unlocked como lo promete el producto. Encantada con este celular"
134,Phone looks and works like brand new.  No problems at all getting it signed into ATT account with new SIM card.  Very happy!
135,I used the product for home and work I have a Sansom galaxy that has better battery life but the battery life is not too bad on this phone
136,The phone still works great and I’ve dropped her at least 30 times pretty rough
137,battery gets too hot to hold phone
138,9/10 phone condition . Iphone came with a few scratches on the camera and back. I really dont like how the battery life was already on 88% . But still a good buy.
